"","weight","Time","Chick","Diet"
"341",42,0,"31","A"
"342",53,2,"31","A"
"343",62,4,"31","A"
"344",73,6,"31","A"
"345",85,8,"31","A"
"346",102,10,"31","A"
"347",123,12,"31","A"
"348",138,14,"31","A"
"349",170,16,"31","A"
"350",204,18,"31","A"
"351",235,20,"31","A"
"352",256,21,"31","A"
"353",41,0,"32","A"
"354",49,2,"32","A"
"355",65,4,"32","A"
"356",82,6,"32","A"
"357",107,8,"32","A"
"358",129,10,"32","A"
"359",159,12,"32","A"
"360",179,14,"32","A"
"361",221,16,"32","A"
"362",263,18,"32","A"
"363",291,20,"32","A"
"364",305,21,"32","A"
"365",39,0,"33","A"
"366",50,2,"33","A"
"367",63,4,"33","A"
"368",77,6,"33","A"
"369",96,8,"33","A"
"370",111,10,"33","A"
"371",137,12,"33","A"
"372",144,14,"33","A"
"373",151,16,"33","A"
"374",146,18,"33","A"
"375",156,20,"33","A"
"376",147,21,"33","A"
"377",41,0,"34","A"
"378",49,2,"34","A"
"379",63,4,"34","A"
"380",85,6,"34","A"
"381",107,8,"34","A"
"382",134,10,"34","A"
"383",164,12,"34","A"
"384",186,14,"34","A"
"385",235,16,"34","A"
"386",294,18,"34","A"
"387",327,20,"34","A"
"388",341,21,"34","A"
"389",41,0,"35","A"
"390",53,2,"35","A"
"391",64,4,"35","A"
"392",87,6,"35","A"
"393",123,8,"35","A"
"394",158,10,"35","A"
"395",201,12,"35","A"
"396",238,14,"35","A"
"397",287,16,"35","A"
"398",332,18,"35","A"
"399",361,20,"35","A"
"400",373,21,"35","A"
"401",39,0,"36","A"
"402",48,2,"36","A"
"403",61,4,"36","A"
"404",76,6,"36","A"
"405",98,8,"36","A"
"406",116,10,"36","A"
"407",145,12,"36","A"
"408",166,14,"36","A"
"409",198,16,"36","A"
"410",227,18,"36","A"
"411",225,20,"36","A"
"412",220,21,"36","A"
"413",41,0,"37","A"
"414",48,2,"37","A"
"415",56,4,"37","A"
"416",68,6,"37","A"
"417",80,8,"37","A"
"418",83,10,"37","A"
"419",103,12,"37","A"
"420",112,14,"37","A"
"421",135,16,"37","A"
"422",157,18,"37","A"
"423",169,20,"37","A"
"424",178,21,"37","A"
"425",41,0,"38","A"
"426",49,2,"38","A"
"427",61,4,"38","A"
"428",74,6,"38","A"
"429",98,8,"38","A"
"430",109,10,"38","A"
"431",128,12,"38","A"
"432",154,14,"38","A"
"433",192,16,"38","A"
"434",232,18,"38","A"
"435",280,20,"38","A"
"436",290,21,"38","A"
"437",42,0,"39","A"
"438",50,2,"39","A"
"439",61,4,"39","A"
"440",78,6,"39","A"
"441",89,8,"39","A"
"442",109,10,"39","A"
"443",130,12,"39","A"
"444",146,14,"39","A"
"445",170,16,"39","A"
"446",214,18,"39","A"
