"","city","year","month","volume","median","listings","inventory","date","salesBin"
"1","Abilene",2000,1,5380000,71400,701,6.3,2000,"Low"
"2","Abilene",2000,2,6505000,58700,746,6.6,2000.08333333333,"Medium"
"3","Abilene",2000,3,9285000,58100,784,6.8,2000.16666666667,"Medium"
"4","Abilene",2000,5,10590000,67300,794,6.8,2000.33333333333,"Medium"
"5","Abilene",2000,6,13910000,66900,780,6.6,2000.41666666667,"Medium"
"6","Abilene",2000,7,12635000,73500,742,6.2,2000.5,"Medium"
"7","Abilene",2000,8,10710000,75000,765,6.4,2000.58333333333,"Medium"
"8","Abilene",2000,10,7040000,59300,764,6.6,2000.75,"Medium"
"9","Abilene",2000,12,7285000,65000,658,5.7,2000.91666666667,"Low"
"10","Abilene",2001,1,5730000,64500,779,6.8,2001,"Low"
"11","Abilene",2001,2,8670000,68900,700,6,2001.08333333333,"Medium"
"12","Abilene",2001,4,8705000,71500,810,7,2001.25,"Medium"
"13","Abilene",2001,5,11850000,71000,772,6.6,2001.33333333333,"Medium"
"14","Abilene",2001,6,11290000,78100,825,7.2,2001.41666666667,"Medium"
"15","Abilene",2001,7,13175000,86700,801,7.1,2001.5,"Medium"
"16","Abilene",2001,8,11840000,69000,891,7.7,2001.58333333333,"Medium"
"17","Abilene",2001,9,8395000,64200,849,7.3,2001.66666666667,"Medium"
"18","Abilene",2001,11,8955000,69100,695,5.8,2001.83333333333,"Medium"
"19","Abilene",2001,12,7195000,71800,620,5.2,2001.91666666667,"Low"
"20","Abilene",2002,1,6530000,64000,652,5.4,2002,"Low"
"21","Abilene",2002,2,6860000,62900,746,6.3,2002.08333333333,"Low"
"22","Abilene",2002,3,8385000,62100,774,6.5,2002.16666666667,"Medium"
"23","Abilene",2002,4,10465000,66900,767,6.3,2002.25,"Medium"
"24","Abilene",2002,5,11465000,69200,778,6.4,2002.33333333333,"Medium"
"25","Abilene",2002,6,11600000,76700,758,6.3,2002.41666666667,"Medium"
"26","Abilene",2002,7,13500000,73900,746,6.1,2002.5,"Medium"
"27","Abilene",2002,9,9965000,67300,703,5.6,2002.66666666667,"Medium"
"28","Abilene",2002,10,10395000,73600,664,5.3,2002.75,"Medium"
