"","month","companyA","companyB"
"1",1,34015.9250816668,25912.5597713571
"2",2,26077.9208109764,33922.0718692858
"3",3,25611.814657632,47807.3095603333
"4",4,26983.7805755974,52353.6706411946
"5",5,30579.9655753444,40556.6721359915
"6",6,29195.609198624,47699.5879209424
"7",7,30279.4182589481,28998.9545005952
"8",8,35559.3908849148,43221.1515110568
"9",9,38490.8650924695,42234.0965575755
"10",10,24863.2959419541,39979.9245338286
"11",11,25898.0870288461,33664.4949704199
"12",12,36674.1743296264,35507.9834110625
