"","employeeID","scores","sysMerge"
"1",1,3,"CRM"
"2",2,5,"CRM"
"3",3,5,"CRM"
"4",4,3,"CRM"
"5",5,2,"CRM"
"6",6,4,"CRM"
"7",7,4,"CRM"
"8",8,2,"CRM"
"9",9,2,"CRM"
"10",10,2,"CRM"
"11",11,3,"CRM"
"12",12,4,"CRM"
"13",13,3,"CRM"
"14",14,5,"CRM"
"15",15,1,"CRM"
"16",16,1,"CRM"
"17",17,2,"CRM"
"18",18,3,"CRM"
"19",19,4,"CRM"
"20",20,5,"CRM"
"21",1,4,"LEGACY"
"22",2,3,"LEGACY"
"23",3,4,"LEGACY"
"24",4,4,"LEGACY"
"25",5,2,"LEGACY"
"26",6,3,"LEGACY"
"27",7,2,"LEGACY"
"28",8,5,"LEGACY"
"29",9,5,"LEGACY"
"30",10,2,"LEGACY"
"31",11,4,"LEGACY"
"32",12,3,"LEGACY"
"33",13,3,"LEGACY"
"34",14,3,"LEGACY"
"35",15,4,"LEGACY"
"36",16,3,"LEGACY"
"37",17,4,"LEGACY"
"38",18,3,"LEGACY"
"39",19,2,"LEGACY"
"40",20,2,"LEGACY"
