"","Are.entrepreneurs.born.or.made.","When.you.think.of.an.entrepreneur.which.word.comes.to.your.mind...select.one.","Main.influence.on.career.choice","Was.the.reason.for.leaving.your.previous.organization.employment.an.end.of.contract.","Lack.of.shared.information","No.urgency.to.finish","Little.motivation.to.produce","Low.quality.standards","Discrimination","To.overcome.career.barriers","Didn.t.fit.into.corporate.cultures","Left.for.more.respect","Left.to.be.in.charge","Left.to.regain.excitement","Left.to.get.recognition","Left.to.make.it.on.my.own","For.self.esteem","To.become.an.entrepreneur","For.freedom","To.balance.family.and.work","To.control.my.time","For.the.last.years.our.firm.had.produced.many.new.products.services","In.general..our.firm.was.very.often.the.first.to.introduce.new.products.services","Facing.competition..our.firm.normally.engaged.aggressive.actions.over.the.competitors","In.general..our.firm.adopted.a.very.competitive.posture.to.beat.the.competitors","In.general..our.firm.had.a.strong.emphasis.on.high.risk.projects.with.uncertain.returns","In.order.to.achieve.the.firm.s.objectives..the.impact.of.the.business.environment.caused.our.firm.to.adopt.strong.and.fearless.measures","In.case.of.insecure.decision.making.situations..our.firm.adopted.a.fearless.and.aggressive.position.to.increase.the.chance.of.exploiting.potential.opportunities","Our.firm.put.on.strong.emphasis.on.R.D.and.innovation.instead.of.focusing.on.marketing.of.current.products.services","The.changes.in.new.product.services.in.our.firm.were.quite.dramatic","RC2","RC1","RC3"
"1","Made","Risk-taker","The economy","Yes",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2.14841707385976,0.797798344247662,1.71958669297499
"2","Made","Risk-taker","The economy","Yes",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2.14841707385976,0.797798344247662,1.71958669297499
"3","Born","Risk-taker","The economy","Yes",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,-1.63151101092135,-1.70488519513304,-2.01278387936516
"4","Made","Ambitious","Personal experience","No",5,3,6,6,3,6,3,4,4,4,4,5,6,4,7,7,7,5,6,3,3,3,3,3,3,3,-0.464557220200432,0.714353809744691,-0.0377069607164181
"5","No response","Ambitious","Personal experience","Yes",6,4,3,2,6,6,3,3,3,5,3,2,2,2,6,6,6,4,4,4,4,4,4,4,4,4,0.230298723991833,-0.289989433352338,-0.460071812263807
"6","Born","Risk-taker","Personal experience","No",5,4,5,5,4,5,6,5,5,6,6,6,4,4,6,6,6,4,6,3,3,2,4,3,5,4,-0.275501983070362,0.573050206761011,0.365689012635957
"7","Made","Motivated","Personal experience","No",5,5,5,4,5,5,4,5,5,5,5,5,5,3,5,4,5,6,6,6,6,6,6,6,7,7,1.86266009169273,-0.398309305550706,0.207747833883791
"8","No response","Successful","Careers guidance","Yes",6,2,7,7,7,7,7,7,1,6,6,2,2,2,2,5,4,7,7,3,4,7,6,6,6,6,1.51021278699887,-2.15602187909204,2.10254333164532
"9","Made","Hard-working","Careers guidance","Yes",6,2,3,5,1,1,3,1,1,7,3,3,3,1,7,7,7,4,1,1,4,6,4,3,1,1,-0.963032048982251,0.460589533788013,-1.33914032806632
"10","Made","Ambitious","Life/health circumstances","No",5,3,5,4,6,5,5,6,3,3,4,4,5,3,3,6,5,5,3,5,6,2,5,6,5,3,0.571853719020747,-0.52422114415958,0.162884686228019
"11","Made","Hard-working","Personal experience","Yes",4,2,2,2,2,4,6,4,2,2,3,1,2,4,2,1,1,6,5,6,6,7,6,6,4,6,1.98978455393256,-2.19119628289612,-0.675557325889532
"12","Made","Ambitious","Personal experience","No",3,6,7,6,2,7,6,5,4,7,6,3,6,5,6,3,6,1,3,2,4,1,2,2,1,1,-1.89304697097004,0.718450659305364,0.781389099758456
