"","age","workclass","fnlwgt","education","educationnum","marital","occupation","relationship","race","sex","capgain","caploss","hoursperweek","nativecountry","incomebin"
"5",28,"Private",338409,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,40,"Cuba",0
"12",30,"State-gov",141297,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"India",1
"15",40,"Private",121772,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"?",1
"16",34,"Private",245487,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,45,"Mexico",0
"18",32,"Private",186824,"HS-grad",9,"Never-married","Machine-op-inspct","Unmarried","White","Male",0,0,40,"United-States",0
"28",54,"?",180211,"Some-college",10,"Married-civ-spouse","?","Husband","Asian-Pac-Islander","Male",0,0,60,"South",1
"34",30,"Federal-gov",59951,"Some-college",10,"Married-civ-spouse","Adm-clerical","Own-child","White","Male",0,0,40,"United-States",0
"38",19,"Private",544091,"HS-grad",9,"Married-AF-spouse","Adm-clerical","Wife","White","Female",0,0,25,"United-States",0
"42",53,"Self-emp-not-inc",88506,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",0
"43",24,"Private",172987,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,50,"United-States",0
"45",25,"Private",289980,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,35,"United-States",0
"49",41,"State-gov",101603,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"53",47,"Private",51835,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,60,"Honduras",1
"55",47,"Self-emp-inc",109832,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,60,"United-States",0
"61",30,"Private",59496,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",2407,0,40,"United-States",0
"69",49,"Self-emp-inc",191681,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",1
"76",27,"Private",213921,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"Mexico",0
"89",30,"Private",54334,"9th",5,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States",0
"94",30,"Private",117747,"HS-grad",9,"Married-civ-spouse","Sales","Wife","Asian-Pac-Islander","Female",0,1573,35,"?",0
"96",29,"Local-gov",115585,"Some-college",10,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,50,"United-States",0
